N_Gis;N_Pla;Demarcaci¢n;Unidad Ctra.;Carretera;PK;Tipo de Eje;Gis_X;Gis_Y;Direccional/C¢digo;C¢digo;Geometr¡a;Doc_WMFNombre;Tipo de Soporte;Pos_Angulo;Doc_WMFAncho;Doc_WMFAlto;Pla_OrdenFila;Sop_Panel
111;117;Madrid;Madrid;A-5;13,475;Tronco;429711,2;4467688,44;Vertical;B2D;Panel;B2D.Png;Poste;1,2304144;472;236;1;Frontal
112;118;Madrid;Madrid;A-5;13,462;Tronco;429729,68;4467689,63;Direccional;Direccional;;A5_MAD_H007_01267.Png;Confirmacion;0,8488051;2008;1893;1;Frontal
113;119;Madrid;Madrid;A-5;13,487;Tronco;429695,24;4467684,9;Vertical;P-4;Tri ngulo;P04.Png;Poste;6,2083254;736;648;1;Frontal
113;120;Madrid;Madrid;A-5;13,487;Tronco;429695,24;4467684,9;Vertical;R-301_50;C¡rculo;R301_50.Png;Poste;6,2083254;531;531;2;Frontal
114;121;Madrid;Madrid;A-5;13,495;Ramal;429704,62;4467775,03;Vertical;S-13;Cuadrado;S13.Png;Poste;0,0618678;531;531;1;Frontal
115;122;Madrid;Madrid;A-5;13,517;Ramal;429675,15;4467772,42;Direccional;Direccional;;A5_MAD_H007_01258.Png;Preaviso;3,0920461;1734;2191;1;Frontal
116;123;Madrid;Madrid;A-5;13,545;Tronco;429624,1;4467711,61;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,5707963;736;649;1;Frontal
116;124;Madrid;Madrid;A-5;13,545;Tronco;429624,1;4467711,61;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;1,5707963;531;177;2;Frontal
117;125;Madrid;Madrid;A-5;13,573;Tronco;429588,12;4467711,27;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;1,4959365;531;797;1;Frontal
118;126;Madrid;Madrid;A-5;13,613;Tronco;429536,08;4467701,51;Vertical;R-101;C¡rculo;R101.Png;Poste;4,5837921;531;531;1;Frontal
118;127;Madrid;Madrid;A-5;13,613;Tronco;429536,08;4467701,51;Vertical;R-400c;C¡rculo;R400C.Png;Poste;4,5837921;531;531;1;Posterior
119;128;Madrid;Madrid;A-5;13,649;Tronco;429492;4467712,08;Vertical;R-400c;C¡rculo;R400C.Png;Poste;1,5778383;531;531;1;Frontal
119;129;Madrid;Madrid;A-5;13,649;Tronco;429492;4467712,08;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,5778383;736;649;2;Frontal
120;130;Madrid;Madrid;A-5;13,645;Tronco;429493,11;4467668,05;Vertical;R-400c;C¡rculo;R400C.Png;Poste;4,6132994;531;531;1;Frontal
120;131;Madrid;Madrid;A-5;13,645;Tronco;429493,11;4467668,05;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,6132994;736;649;2;Frontal
121;132;Madrid;Madrid;A-5;13,658;Ramal;429474,58;4467631,61;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;0,7968919;531;797;1;Frontal
122;133;Madrid;Madrid;A-5;13,668;Tronco;429463,93;4467664,87;Vertical;B2B;Panel;B2B.Png;Poste;0,804264;944;236;1;Frontal
123;134;Madrid;Madrid;A-5;13,673;Tronco;429457,28;4467646,54;Vertical;B2B;Panel;B2B.Png;Poste;1,4504135;944;236;1;Frontal
124;135;Madrid;Madrid;A-5;13,667;Ramal;429462,98;4467628,5;Vertical;B2B;Panel;B2B.Png;Poste;1,9624962;944;236;1;Frontal
124;138;Madrid;Madrid;A-5;13,667;Ramal;429462,98;4467628,5;Vertical;B2B;Panel;B2B.Png;Poste;1,9624962;944;236;2;Frontal
125;136;Madrid;Madrid;A-5;13,636;Ramal;429499,62;4467611,03;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,9764108;531;531;1;Frontal
126;137;Madrid;Madrid;A-5;13,639;Ramal;429493,8;4467600,59;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,9553407;531;531;1;Frontal
127;139;Madrid;Madrid;A-5;13,706;Tronco;429416,93;4467646,17;Vertical;P-4;Tri ngulo;P04.Png;Poste;4,227911;736;648;1;Frontal
128;140;Madrid;Madrid;A-5;13,711;Ramal;429411,11;4467632,86;Vertical;P-4;Tri ngulo;P04.Png;Poste;4,2487414;736;648;1;Frontal
129;141;Madrid;Madrid;A-5;13,78;Tronco;429328,22;4467668;Vertical;R-301_70;C¡rculo;R301_70.Png;Poste;4,5969623;531;531;1;Frontal
130;142;Madrid;Madrid;A-5;13,781;Tronco;429326,84;4467654,79;Vertical;R-301_70;C¡rculo;R301_70.Png;Poste;4,5586814;531;531;1;Frontal
131;143;Madrid;Madrid;A-5;13,666;Ramal;429463,74;4467620,49;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,1769695;736;649;1;Frontal
131;144;Madrid;Madrid;A-5;13,666;Ramal;429463,74;4467620,49;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;4,1769695;531;177;2;Frontal
132;145;Madrid;Madrid;A-5;13,672;Ramal;429456,06;4467608,96;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,0873664;736;649;1;Frontal
132;146;Madrid;Madrid;A-5;13,672;Ramal;429456,06;4467608,96;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;4,0873664;531;177;2;Frontal
133;147;Madrid;Madrid;A-5;13,626;Ramal;429508,22;4467570,99;Direccional;Direccional;;A5_MAD_H007_01262.Png;Confirmacion;4,0819876;2212;1718;1;Frontal
134;148;Madrid;Madrid;A-5;13,598;Ramal;429538,82;4467554,58;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;4,1444283;531;531;1;Frontal
135;149;Madrid;Madrid;A-5;13,548;Ramal;429593,15;4467528,34;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,2948626;736;649;1;Frontal
135;150;Madrid;Madrid;A-5;13,548;Ramal;429593,15;4467528,34;Vertical;R-101;C¡rculo;R101.Png;Poste;4,2948626;531;531;1;Posterior
136;151;Madrid;Madrid;A-5;13,541;Ramal;429603,1;4467535,64;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,2428763;736;649;1;Frontal
136;152;Madrid;Madrid;A-5;13,541;Ramal;429603,1;4467535,64;Vertical;R-101;C¡rculo;R101.Png;Poste;4,2428763;531;531;1;Posterior
137;153;Madrid;Madrid;A-5;13,558;Ramal;429585,66;4467559,04;Vertical;R-400c;C¡rculo;R400C.Png;Poste;1,1767081;531;531;1;Frontal
137;154;Madrid;Madrid;A-5;13,558;Ramal;429585,66;4467559,04;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,1767081;736;649;2;Frontal
138;1501;Madrid;Madrid;A-5;13,477;Ramal;429661,68;4467482,07;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,7853982;736;649;1;Frontal
138;1502;Madrid;Madrid;A-5;13,477;Ramal;429661,68;4467482,07;Vertical;R-101;C¡rculo;R101.Png;Poste;0,7853982;531;531;1;Posterior
139;155;Madrid;Madrid;A-5;13,494;Ramal;429648,93;4467518,68;Vertical;R-101;C¡rculo;R101.Png;Poste;5,542006;531;531;1;Frontal
139;156;Madrid;Madrid;A-5;13,494;Ramal;429648,93;4467518,68;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,542006;736;649;1;Posterior
140;1509;Madrid;Madrid;A-5;13,507;Ramal;429636,39;4467526,96;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,3874344;736;649;1;Frontal
140;1510;Madrid;Madrid;A-5;13,507;Ramal;429636,39;4467526,96;Vertical;R-101;C¡rculo;R101.Png;Poste;2,3874344;531;531;1;Posterior
141;157;Madrid;Madrid;A-5;13,514;Ramal;429630,21;4467544,16;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;1,9919167;531;531;1;Frontal
142;158;Madrid;Madrid;A-5;13,511;Ramal;429633,16;4467535,68;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;2,0036053;531;531;1;Frontal
144;160;Madrid;Madrid;A-5;13,476;Ramal;429685,2;4467577,47;Direccional;Direccional;;A5_MAD_H007_01265.Png;Preaviso;6,1156528;2008;1893;1;Frontal
145;161;Madrid;Madrid;A-5;13,494;Ramal;429658,58;4467561,54;Direccional;Direccional;;195.Png;FlechaD;2,8530051;1003;354;1;Frontal
147;163;Madrid;Madrid;A-5;13,44;Ramal;429693,13;4467443,81;Direccional;Direccional;;A5_MAD_H007_01263.Png;Preaviso;0,6588061;2036;1866;1;Frontal
149;165;Madrid;Madrid;A-5;13,511;Tronco;429667,07;4467699,49;Direccional;Direccional;;A5_MAD_H007_01259.Png;FlechaD;2,8454774;1223;590;1;Frontal
150;166;Madrid;Madrid;A-5;13,502;Ramal;429638,6;4467512,27;Vertical;B2B;Panel;B2B.Png;Poste;2,735704;944;236;1;Frontal
151;167;Madrid;Madrid;A-5;13,527;Ramal;429606,17;4467504,68;Vertical;B2B;Panel;B2B.Png;Poste;4,0242441;944;236;1;Frontal
152;168;Madrid;Madrid;A-5;13,523;Ramal;429612,28;4467511,58;Vertical;R-402;C¡rculo;R402.Png;Poste;3,9269908;531;531;1;Frontal
153;169;Madrid;Madrid;A-5;13,518;Ramal;429611,41;4467475,51;Vertical;B2B;Panel;B2B.Png;Poste;5,3215525;944;236;1;Frontal
154;170;Madrid;Madrid;A-5;13,523;Ramal;429606,29;4467482,41;Vertical;R-402;C¡rculo;R402.Png;Poste;5,2342231;531;531;1;Frontal
155;171;Madrid;Madrid;A-5;13,526;Ramal;429603,92;4467489,7;Vertical;B2B;Panel;B2B.Png;Poste;4,9841811;944;236;1;Frontal
156;172;Madrid;Madrid;A-5;13,489;Ramal;429648,33;4467486,12;Vertical;B2B;Panel;B2B.Png;Poste;0,8970395;944;236;1;Frontal
157;173;Madrid;Madrid;A-5;13,489;Ramal;429646,09;4467480,34;Vertical;R-402;C¡rculo;R402.Png;Poste;0,9783692;531;531;1;Frontal
158;174;Madrid;Madrid;A-5;13,492;Ramal;429642,02;4467476,13;Vertical;B2B;Panel;B2B.Png;Poste;0,8630858;944;236;1;Frontal
159;175;Madrid;Madrid;A-5;13,518;Ramal;429619,16;4467514,9;Vertical;B2B;Panel;B2B.Png;Poste;3,7562556;944;236;1;Frontal
160;176;Madrid;Madrid;A-5;13,5;Ramal;429641,36;4467508,06;Vertical;R-402;C¡rculo;R402.Png;Poste;2,7435784;531;531;1;Frontal
161;177;Madrid;Madrid;A-5;13,494;Ramal;429645,96;4467503,99;Vertical;B2B;Panel;B2B.Png;Poste;2,8725569;944;236;1;Frontal
162;1515;Madrid;Madrid;A-5;14,655;Tronco;428447,02;4467414,83;Vertical;S-63;Rect ngulo;S63.Png;Poste;5,1390165;1417;1240;1;Frontal
163;178;Madrid;Madrid;A-5;14,671;Tronco;428432,67;4467406,78;Direccional;Direccional;;A5_MAD_H009_01272.Png;Preaviso;5,152785;1744;2180;1;Frontal
164;179;Madrid;Madrid;A-5;14,728;Tronco;428380,56;4467388,37;Vertical;R-101;C¡rculo;R101.Png;Poste;2,109018;531;531;1;Frontal
165;180;Madrid;Madrid;A-5;14,767;Tronco;428348,42;4467362,87;Vertical;B2B;Panel;B2B.Png;Poste;0,7853982;944;236;1;Frontal
166;181;Madrid;Madrid;A-5;14,773;Ramal;428352,03;4467340,16;Vertical;B2B;Panel;B2B.Png;Poste;0,9736197;944;236;1;Frontal
167;182;Madrid;Madrid;A-5;14,773;Ramal;428358,74;4467323,65;Vertical;B2B;Panel;B2B.Png;Poste;1,1964629;944;236;1;Frontal
168;183;Madrid;Madrid;A-5;14,758;Ramal;428386,37;4467298,89;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,5423027;531;531;1;Frontal
169;184;Madrid;Madrid;A-5;14,846;Ramal;428283,56;4467316,88;Direccional;Direccional;;A5_MAD_H009_01268.Png;Preaviso;4,4674104;2146;1771;1;Frontal
170;185;Madrid;Madrid;A-5;14,861;Ramal;428264,84;4467321,21;Vertical;P-4;Tri ngulo;P04.Png;Poste;4,6435324;736;648;1;Frontal
171;186;Madrid;Madrid;A-5;14,862;Tronco;428257,89;4467334,37;Vertical;B2D;Panel;B2D.Png;Poste;4,8542859;472;236;1;Frontal
171;1994;Madrid;Madrid;A-5;14,862;Tronco;428257,89;4467334,37;Vertical;B2D;Panel;B2D.Png;Poste;4,8542859;472;236;2;Frontal
171;1995;Madrid;Madrid;A-5;14,862;Tronco;428257,89;4467334,37;Vertical;B2D;Panel;B2D.Png;Poste;4,8542859;472;236;3;Frontal
172;187;Madrid;Madrid;A-5;14,839;Ramal;428283,77;4467332,6;Vertical;B2D;Panel;B2D.Png;Poste;4,9471115;472;236;1;Frontal
173;188;Madrid;Madrid;A-5;14,82;Ramal;428306,24;4467327,13;Vertical;B2D;Panel;B2D.Png;Poste;4,9869644;472;236;1;Frontal
174;189;Madrid;Madrid;A-5;14,818;Tronco;428300,18;4467345,76;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,8448232;736;649;1;Frontal
174;190;Madrid;Madrid;A-5;14,818;Tronco;428300,18;4467345,76;Vertical;S-800_100;Cuadrado;S800_100.Png;Poste;3,8448232;531;177;2;Frontal
175;191;Madrid;Madrid;A-5;14,763;Ramal;428388,43;4467281,11;Direccional;Direccional;;A5_MAD_H009_01271.Png;FlechaD;1,6137808;1012;590;1;Frontal
176;192;Madrid;Madrid;A-5;14,769;Ramal;428384,29;4467273,91;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,9065854;736;649;1;Frontal
176;193;Madrid;Madrid;A-5;14,769;Ramal;428384,29;4467273,91;Vertical;R-101;C¡rculo;R101.Png;Poste;3,9065854;531;531;1;Posterior
177;194;Madrid;Madrid;A-5;14,781;Ramal;428377,31;4467260,7;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,770389;736;649;1;Frontal
177;195;Madrid;Madrid;A-5;14,781;Ramal;428377,31;4467260,7;Vertical;R-101;C¡rculo;R101.Png;Poste;3,770389;531;531;1;Posterior
178;196;Madrid;Madrid;A-5;14,768;Ramal;428391,68;4467259,23;Vertical;R-402;C¡rculo;R402.Png;Poste;4,3034811;531;531;1;Frontal
179;197;Madrid;Madrid;A-5;14,762;Ramal;428396,02;4467263,86;Vertical;B2B;Panel;B2B.Png;Poste;4,1905548;944;236;1;Frontal
180;198;Madrid;Madrid;A-5;14,77;Ramal;428392,17;4467253,9;Vertical;B2B;Panel;B2B.Png;Poste;4,4150239;944;236;1;Frontal
181;199;Madrid;Madrid;A-5;14,908;Tronco;428215,36;4467315,9;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;5,1799892;531;531;1;Frontal
181;200;Madrid;Madrid;A-5;14,908;Tronco;428215,36;4467315,9;Vertical;S-870;Cuadrado;S870.Png;Poste;5,1799892;472;236;2;Frontal
182;201;Madrid;Madrid;A-5;14,882;Ramal;428178,1;4467462,65;Vertical;B2B;Panel;B2B.Png;Poste;5,1247994;944;236;1;Frontal
183;202;Madrid;Madrid;A-5;14,923;Ramal;428135,3;4467453,17;Vertical;B2B;Panel;B2B.Png;Poste;5,8565578;944;236;1;Frontal
184;203;Madrid;Madrid;A-5;14,951;Ramal;428113,11;4467435,11;Vertical;B2B;Panel;B2B.Png;Poste;0,7853982;944;236;1;Frontal
185;204;Madrid;Madrid;A-5;14,966;Ramal;428106,92;4467412,41;Vertical;B2B;Panel;B2B.Png;Poste;0,7853982;944;236;1;Frontal
186;205;Madrid;Madrid;A-5;14,973;Ramal;428105,89;4467397,44;Vertical;B2B;Panel;B2B.Png;Poste;0,9827937;944;236;1;Frontal
187;206;Madrid;Madrid;A-5;14,973;Ramal;428112,08;4467384,54;Vertical;B2B;Panel;B2B.Png;Poste;1,1246907;944;236;1;Frontal
187;1991;Madrid;Madrid;A-5;14,973;Ramal;428112,08;4467384,54;Vertical;B2B;Panel;B2B.Png;Poste;1,1246907;944;236;2;Frontal
187;1992;Madrid;Madrid;A-5;14,973;Ramal;428112,08;4467384,54;Vertical;B2B;Panel;B2B.Png;Poste;1,1246907;944;236;3;Frontal
188;207;Madrid;Madrid;A-5;14,915;Tronco;428176,1;4467384,6;Vertical;P-13a;Tri ngulo;P13A.Png;Poste;2,0980836;736;648;1;Frontal
188;208;Madrid;Madrid;A-5;14,915;Tronco;428176,1;4467384,6;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;2,0980836;531;531;2;Frontal
188;209;Madrid;Madrid;A-5;14,915;Tronco;428176,1;4467384,6;Vertical;S-870;Cuadrado;S870.Png;Poste;2,0980836;472;236;3;Frontal
189;210;Madrid;Madrid;A-5;15,617;Tronco;427579,57;4466966,48;Vertical;S-870;Cuadrado;S870.Png;Poste;5,2751261;472;236;2;Frontal
189;1681;Madrid;Madrid;A-5;15,617;Tronco;427579,57;4466966,48;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;5,2751261;531;531;1;Frontal
190;211;Madrid;Madrid;A-5;15,489;Tronco;427693;4467033,78;Vertical;R-400a;C¡rculo;R400A.Png;Poste;0,4756952;531;531;1;Frontal
191;212;Madrid;Madrid;A-5;15,455;Tronco;427722,24;4467051,82;Vertical;P-20;Tri ngulo;P20.Png;Poste;4,4158431;736;648;1;Frontal
192;213;Madrid;Madrid;A-5;15,455;Tronco;427724,51;4467049,04;Vertical;R-308;C¡rculo;R308.Png;Poste;0,377249;531;531;1;Frontal
193;214;Madrid;Madrid;A-5;15,461;Ramal;427723,83;4467037,44;Vertical;R-1;Tri ngulo;R1.Png;Poste;0;736;649;1;Frontal
194;215;Madrid;Madrid;A-5;15,429;Ramal;427775,87;4467011,31;Vertical;R-308;C¡rculo;R308.Png;Farola;2,4729033;531;531;1;Frontal
194;216;Madrid;Madrid;A-5;15,429;Ramal;427775,87;4467011,31;Vertical;S-800;Rect ngulo;S800.Png;Farola;2,4729033;531;177;2;Frontal
195;217;Madrid;Madrid;A-5;15,518;Tronco;427665,78;4467020,74;Vertical;R-301_30;C¡rculo;R301_30.Png;Poste;5,3179338;531;531;1;Frontal
195;218;Madrid;Madrid;A-5;15,518;Tronco;427665,78;4467020,74;Vertical;S-870;Cuadrado;S870.Png;Poste;5,3179338;472;236;2;Frontal
196;219;Madrid;Madrid;A-5;15,411;Ramal;427791,84;4467021,92;Vertical;R-308;C¡rculo;R308.Png;Poste;5,6535401;531;531;1;Frontal
196;220;Madrid;Madrid;A-5;15,411;Ramal;427791,84;4467021,92;Vertical;CajGrua;Rect ngulo;CajGrua.Png;Poste;5,6535401;531;206;2;Frontal
197;221;Madrid;Madrid;A-5;15,417;Ramal;427775,38;4467036,83;Vertical;R-303;C¡rculo;R303.Png;Farola;0,9567773;531;531;1;Frontal
197;222;Madrid;Madrid;A-5;15,417;Ramal;427775,38;4467036,83;Vertical;CajGrua;Rect ngulo;CajGrua.Png;Farola;0,9567773;531;206;2;Frontal
198;1516;Madrid;Madrid;A-5;15,406;Ramal;427771,21;4467068,16;Vertical;R-302;C¡rculo;R302.Png;Poste;5,2863364;531;531;1;Frontal
198;1517;Madrid;Madrid;A-5;15,406;Ramal;427771,21;4467068,16;Vertical;R-101;C¡rculo;R101.Png;Poste;5,2863364;531;531;1;Posterior
199;223;Madrid;Madrid;A-5;15,399;Tronco;427770,82;4467083,05;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,3558902;736;649;1;Frontal
200;224;Madrid;Madrid;A-5;15,373;Tronco;427793,27;4467097,89;Vertical;R-101;C¡rculo;R101.Png;Poste;2,0955919;531;531;1;Frontal
201;225;Madrid;Madrid;A-5;17,212;Tronco;426214,96;4466222,3;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,0119756;531;531;1;Frontal
201;226;Madrid;Madrid;A-5;17,212;Tronco;426214,96;4466222,3;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,0119756;736;649;2;Frontal
202;1519;Madrid;Madrid;A-5;17,099;Tronco;426322,54;4466259,63;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,0503155;531;531;1;Frontal
202;1520;Madrid;Madrid;A-5;17,099;Tronco;426322,54;4466259,63;Vertical;R-101;C¡rculo;R101.Png;Poste;2,0503155;531;531;1;Posterior
203;227;Madrid;Madrid;A-5;17,086;Ramal;426326,75;4466283,79;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,5332675;736;649;1;Frontal
203;228;Madrid;Madrid;A-5;17,086;Ramal;426326,75;4466283,79;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;2,5332675;531;177;2;Frontal
204;229;Madrid;Madrid;A-5;17,034;Ramal;426361,24;4466338,58;Vertical;R-401a;C¡rculo;R401A.Png;Poste;2,8966138;531;531;1;Frontal
205;230;Madrid;Madrid;A-5;17,041;Ramal;426360,16;4466322,9;Vertical;B2D;Panel;B2D.Png;Poste;2,9805007;472;236;1;Frontal
206;231;Madrid;Madrid;A-5;17,052;Ramal;426354,73;4466307,18;Vertical;B2D;Panel;B2D.Png;Poste;2,9495447;472;236;1;Frontal
207;232;Madrid;Madrid;A-5;17,064;Ramal;426347,62;4466291,84;Vertical;B2D;Panel;B2D.Png;Poste;2,7660699;472;236;1;Frontal
208;233;Madrid;Madrid;A-5;17,076;Tronco;426339,2;4466278,74;Vertical;B2D;Panel;B2D.Png;Poste;2,8374969;472;236;1;Frontal
