N_Gis;N_Pla;Demarcaci¢n;Unidad Ctra.;Carretera;PK;Tipo de Eje;Gis_X;Gis_Y;Direccional/C¢digo;C¢digo;Geometr¡a;Doc_WMFNombre;Tipo de Soporte;Pos_Angulo;Doc_WMFAncho;Doc_WMFAlto;Pla_OrdenFila;Sop_Panel
209;234;Madrid;Madrid;A-5;17,031;Ramal;426378,12;4466303,44;Vertical;B2D;Panel;B2D.Png;Poste;1,2870022;472;236;1;Frontal
210;235;Madrid;Madrid;A-5;17,034;Ramal;426372,32;4466309,99;Vertical;B2D;Panel;B2D.Png;Poste;1,1714033;472;236;1;Frontal
211;236;Madrid;Madrid;A-5;17,036;Ramal;426366,9;4466317,47;Vertical;B2D;Panel;B2D.Png;Poste;1,0919983;472;236;1;Frontal
212;237;Madrid;Madrid;A-5;17,033;Ramal;426363,89;4466333,69;Vertical;R-101;C¡rculo;R101.Png;Poste;3,2067176;531;531;1;Frontal
213;238;Madrid;Madrid;A-5;17,021;Ramal;426381,61;4466326,08;Vertical;R-101;C¡rculo;R101.Png;Poste;3,5791024;531;531;1;Frontal
214;239;Madrid;Madrid;A-5;16,977;Tronco;426433,37;4466309,49;Vertical;P-13a;Tri ngulo;P13A.Png;Poste;2,0344442;736;648;1;Frontal
214;240;Madrid;Madrid;A-5;16,977;Tronco;426433,37;4466309,49;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;2,0344442;531;531;2;Frontal
214;241;Madrid;Madrid;A-5;16,977;Tronco;426433,37;4466309,49;Vertical;S-870;Cuadrado;S870.Png;Poste;2,0344442;472;236;3;Frontal
215;242;Madrid;Madrid;A-5;16,977;Ramal;426399,87;4466392,65;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,2640439;736;649;1;Frontal
215;243;Madrid;Madrid;A-5;16,977;Ramal;426399,87;4466392,65;Vertical;R-101;C¡rculo;R101.Png;Poste;5,2640439;531;531;1;Posterior
216;244;Madrid;Madrid;A-5;16,982;Ramal;426391,96;4466397,68;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,6191391;736;649;1;Frontal
216;245;Madrid;Madrid;A-5;16,982;Ramal;426391,96;4466397,68;Vertical;R-101;C¡rculo;R101.Png;Poste;5,6191391;531;531;1;Posterior
217;246;Madrid;Madrid;A-5;16,994;Ramal;426382,98;4466390,7;Vertical;R-401a;C¡rculo;R401A.Png;Poste;5,7077606;531;531;1;Frontal
218;247;Madrid;Madrid;A-5;16,931;Ramal;426438,97;4466406,1;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,6889246;736;649;1;Frontal
218;248;Madrid;Madrid;A-5;16,931;Ramal;426438,97;4466406,1;Vertical;R-101;C¡rculo;R101.Png;Poste;0,6889246;531;531;1;Posterior
219;249;Madrid;Madrid;A-5;16,92;Ramal;426444,19;4466420,22;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,4756954;736;649;1;Frontal
220;250;Madrid;Madrid;A-5;16,919;Ramal;426453,09;4466402,05;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,6171914;531;531;1;Frontal
221;251;Madrid;Madrid;A-5;16,894;Ramal;426496,41;4466360,99;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,779993;736;649;1;Frontal
221;252;Madrid;Madrid;A-5;16,894;Ramal;426496,41;4466360,99;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;0,779993;531;177;2;Frontal
222;253;Madrid;Madrid;A-5;16,938;Tronco;426465,13;4466326,64;Vertical;P-4;Tri ngulo;P04.Png;Poste;2,0540493;736;648;1;Frontal
223;254;Madrid;Madrid;A-5;16,896;Tronco;426512,08;4466319,47;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;3,9178168;531;531;1;Frontal
224;255;Madrid;Madrid;A-5;16,888;Tronco;426526,05;4466307;Vertical;P-4;Tri ngulo;P04.Png;Poste;3,8693624;736;648;1;Frontal
225;256;Madrid;Madrid;A-5;16,883;Tronco;426535,91;4466295,65;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,7076475;736;649;1;Frontal
225;257;Madrid;Madrid;A-5;16,883;Tronco;426535,91;4466295,65;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;3,7076475;531;177;2;Frontal
226;258;Madrid;Madrid;A-5;16,873;Tronco;426539,65;4466312,98;Vertical;P-4;Tri ngulo;P04.Png;Poste;0,4778311;736;648;1;Frontal
227;259;Madrid;Madrid;A-5;16,856;Tronco;426570,33;4466284,92;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;0,8215271;531;531;1;Frontal
228;260;Madrid;Madrid;A-5;16,821;Tronco;426603,18;4466294,21;Vertical;B2D;Panel;B2D.Png;Poste;0,5759186;472;236;1;Frontal
228;261;Madrid;Madrid;A-5;16,821;Tronco;426603,18;4466294,21;Vertical;B2D;Panel;B2D.Png;Poste;0,5759186;472;236;2;Frontal
229;262;Madrid;Madrid;A-5;16,797;Tronco;426616,74;4466318,85;Vertical;B2D;Panel;B2D.Png;Poste;0,1124271;472;236;1;Frontal
230;263;Madrid;Madrid;A-5;16,776;Tronco;426633,45;4466332,07;Vertical;B2D;Panel;B2D.Png;Poste;0,0624188;472;236;1;Frontal
231;264;Madrid;Madrid;A-5;16,956;Ramal;426488,57;4466227,66;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,7836965;736;649;1;Frontal
231;265;Madrid;Madrid;A-5;16,956;Ramal;426488,57;4466227,66;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;4,7836965;531;177;2;Frontal
232;266;Madrid;Madrid;A-5;16,908;Ramal;426534,73;4466238,89;Vertical;B2B;Panel;B2B.Png;Poste;4,9872988;944;236;1;Frontal
232;270;Madrid;Madrid;A-5;16,908;Ramal;426534,73;4466238,89;Vertical;B2B;Panel;B2B.Png;Poste;4,9872988;944;236;2;Frontal
233;267;Madrid;Madrid;A-5;16,887;Ramal;426559,06;4466233,09;Vertical;B2B;Panel;B2B.Png;Poste;5,026621;944;236;1;Frontal
234;268;Madrid;Madrid;A-5;16,872;Ramal;426581,32;4466224,29;Vertical;B2B;Panel;B2B.Png;Poste;4,7872488;944;236;1;Frontal
235;269;Madrid;Madrid;A-5;16,859;Ramal;426599,84;4466214,19;Vertical;B2B;Panel;B2B.Png;Poste;4,7946769;944;236;1;Frontal
236;271;Madrid;Madrid;A-5;16,853;Ramal;426594,78;4466239,39;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;3,836331;531;531;1;Frontal
237;272;Madrid;Madrid;A-5;16,874;Ramal;426589,74;4466202,4;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;4,1709044;531;531;1;Frontal
238;273;Madrid;Madrid;A-5;16,736;Tronco;426670,65;4466343,48;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,3922977;736;649;1;Frontal
238;274;Madrid;Madrid;A-5;16,736;Tronco;426670,65;4466343,48;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;5,3922977;531;177;2;Frontal
239;275;Madrid;Madrid;A-5;16,701;Tronco;426693,55;4466372,63;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,1932762;531;531;1;Frontal
239;276;Madrid;Madrid;A-5;16,701;Tronco;426693,55;4466372,63;Vertical;R-101;C¡rculo;R101.Png;Poste;5,1932762;531;531;1;Posterior
240;277;Madrid;Madrid;A-5;16,738;Ramal;426679,85;4466320,84;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,4299303;531;531;1;Frontal
240;278;Madrid;Madrid;A-5;16,738;Ramal;426679,85;4466320,84;Vertical;R-101;C¡rculo;R101.Png;Poste;5,4299303;531;531;1;Posterior
241;279;Madrid;Madrid;A-5;16,731;Ramal;426691,33;4466314,61;Vertical;R-101;C¡rculo;R101.Png;Poste;2,5779218;531;531;1;Frontal
242;280;Madrid;Madrid;A-5;16,689;Ramal;426724,01;4466340,43;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,4071273;531;531;1;Frontal
242;281;Madrid;Madrid;A-5;16,689;Ramal;426724,01;4466340,43;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,4071273;736;649;2;Frontal
243;282;Madrid;Madrid;A-5;16,655;Tronco;426734,69;4466388,76;Vertical;S-1a;Rect ngulo;S01A.Png;Poste;5,3050864;531;797;1;Frontal
244;283;Madrid;Madrid;A-5;16,594;Tronco;426783,85;4466421,32;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,3249267;531;531;1;Frontal
244;284;Madrid;Madrid;A-5;16,594;Tronco;426783,85;4466421,32;Vertical;R-1;Tri ngulo;R1.Png;Poste;5,3249267;736;649;2;Frontal
245;285;Madrid;Madrid;A-5;16,77;Ramal;426677,44;4466259,62;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,3364016;736;649;1;Frontal
245;286;Madrid;Madrid;A-5;16,77;Ramal;426677,44;4466259,62;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;0,3364016;531;177;2;Frontal
246;287;Madrid;Madrid;A-5;16,828;Ramal;426613,57;4466258,08;Vertical;S-13;Cuadrado;S13.Png;Farola;0,3089307;531;531;1;Frontal
247;288;Madrid;Madrid;A-5;16,836;Ramal;426609,96;4466246,73;Vertical;S-13;Cuadrado;S13.Png;Poste;0,3947913;531;531;1;Frontal
248;289;Madrid;Madrid;A-5;16,785;Ramal;426662,39;4466258,22;Vertical;B2D;Panel;B2D.Png;Poste;0,6287963;472;236;1;Frontal
248;290;Madrid;Madrid;A-5;16,785;Ramal;426662,39;4466258,22;Vertical;B2D;Panel;B2D.Png;Poste;0,6287963;472;236;2;Frontal
249;291;Madrid;Madrid;A-5;16,778;Ramal;426659,77;4466276,81;Vertical;B2D;Panel;B2D.Png;Poste;0,6540828;472;236;1;Frontal
250;292;Madrid;Madrid;A-5;16,769;Ramal;426662,77;4466290,16;Vertical;B2D;Panel;B2D.Png;Poste;0,3832841;472;236;1;Frontal
251;293;Madrid;Madrid;A-5;16,798;Ramal;426659,5;4466227,12;Vertical;S-13;Cuadrado;S13.Png;Poste;2,1332943;531;531;1;Frontal
252;294;Madrid;Madrid;A-5;16,829;Ramal;426629,38;4466222,69;Vertical;R-401a;C¡rculo;R401A.Png;Poste;3,8494265;531;531;1;Frontal
253;295;Madrid;Madrid;A-5;16,858;Ramal;426618,37;4466176,81;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,0737539;736;649;1;Frontal
253;296;Madrid;Madrid;A-5;16,858;Ramal;426618,37;4466176,81;Vertical;S-13;Cuadrado;S13.Png;Poste;4,0737539;531;531;2;Frontal
253;297;Madrid;Madrid;A-5;16,858;Ramal;426618,37;4466176,81;Vertical;R-101;C¡rculo;R101.Png;Poste;4,0737539;531;531;1;Posterior
254;298;Madrid;Madrid;A-5;16,843;Ramal;426610,38;4466226,54;Vertical;P-20a;Tri ngulo;P20A.Png;Poste;3,9338873;736;648;1;Frontal
255;299;Madrid;Madrid;A-5;16,849;Ramal;426619,48;4466193,24;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,0984742;736;649;1;Frontal
255;300;Madrid;Madrid;A-5;16,849;Ramal;426619,48;4466193,24;Vertical;R-101;C¡rculo;R101.Png;Poste;4,0984742;531;531;1;Posterior
256;301;Madrid;Madrid;A-5;16,847;Ramal;426623,85;4466189,74;Vertical;S-13;Cuadrado;S13.Png;Poste;4,1537896;531;531;1;Frontal
257;302;Madrid;Madrid;A-5;16,837;Ramal;426629,3;4466204,46;Vertical;R-1;Tri ngulo;R1.Png;Poste;3,4176895;736;649;1;Frontal
257;303;Madrid;Madrid;A-5;16,837;Ramal;426629,3;4466204,46;Vertical;R-101;C¡rculo;R101.Png;Poste;3,4176895;531;531;1;Posterior
258;304;Madrid;Madrid;A-5;16,825;Ramal;426638,09;4466212,51;Vertical;R-1;Tri ngulo;R1.Png;Poste;4,134487;736;649;1;Frontal
258;305;Madrid;Madrid;A-5;16,825;Ramal;426638,09;4466212,51;Vertical;R-101;C¡rculo;R101.Png;Poste;4,134487;531;531;1;Posterior
259;306;Madrid;Madrid;A-5;16,825;Ramal;426636,2;4466215,56;Vertical;S-13;Cuadrado;S13.Png;Poste;4,0621614;531;531;1;Frontal
260;307;Madrid;Madrid;A-5;18,524;Tronco;425069,96;4465565,3;Vertical;P-4;Tri ngulo;P04.Png;Poste;2,0651605;736;648;1;Frontal
260;308;Madrid;Madrid;A-5;18,524;Tronco;425069,96;4465565,3;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;2,0651605;531;531;2;Frontal
261;309;Madrid;Madrid;A-5;18,587;Tronco;425015,23;4465533,51;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,6575344;736;649;1;Frontal
261;310;Madrid;Madrid;A-5;18,587;Tronco;425015,23;4465533,51;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;1,6575344;531;177;2;Frontal
262;311;Madrid;Madrid;A-5;18,579;Ramal;425014,53;4465547,13;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,6827524;736;649;1;Frontal
262;312;Madrid;Madrid;A-5;18,579;Ramal;425014,53;4465547,13;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;1,6827524;531;177;2;Frontal
263;313;Madrid;Madrid;A-5;18,647;Ramal;424929,77;4465543,97;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;1,7214322;531;531;1;Frontal
264;314;Madrid;Madrid;A-5;18,654;Ramal;424932,15;4465529,8;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;1,6567909;531;531;1;Frontal
265;315;Madrid;Madrid;A-5;18,698;Ramal;424867,54;4465542,01;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,412556;736;649;1;Frontal
265;316;Madrid;Madrid;A-5;18,698;Ramal;424867,54;4465542,01;Vertical;R-101;C¡rculo;R101.Png;Poste;1,412556;531;531;1;Posterior
266;317;Madrid;Madrid;A-5;18,703;Ramal;424873,57;4465525,59;Vertical;R-1;Tri ngulo;R1.Png;Poste;1,6914199;736;649;1;Frontal
266;318;Madrid;Madrid;A-5;18,703;Ramal;424873,57;4465525,59;Vertical;R-101;C¡rculo;R101.Png;Poste;1,6914199;531;531;1;Posterior
267;319;Madrid;Madrid;A-5;18,671;Tronco;424950,35;4465481,76;Vertical;B2D;Panel;B2D.Png;Poste;6,0412648;472;236;1;Frontal
268;320;Madrid;Madrid;A-5;18,662;Ramal;424949,88;4465495,33;Vertical;B2D;Panel;B2D.Png;Poste;5,9661296;472;236;1;Frontal
269;321;Madrid;Madrid;A-5;18,661;Ramal;424941,46;4465508,24;Vertical;B2D;Panel;B2D.Png;Poste;6,1809786;472;236;1;Frontal
270;322;Madrid;Madrid;A-5;18,663;Ramal;424930,89;4465517,5;Vertical;B2D;Panel;B2D.Png;Poste;0,0491408;472;236;1;Frontal
271;323;Madrid;Madrid;A-5;18,668;Ramal;424919,48;4465524,46;Vertical;B2D;Panel;B2D.Png;Poste;0,1054893;472;236;1;Frontal
272;324;Madrid;Madrid;A-5;18,682;Ramal;424900,2;4465526,2;Vertical;B2D;Panel;B2D.Png;Poste;0,4856221;472;236;1;Frontal
273;325;Madrid;Madrid;A-5;18,695;Ramal;424886,17;4465522,36;Vertical;B2D;Panel;B2D.Png;Poste;0,9853911;472;236;1;Frontal
274;326;Madrid;Madrid;A-5;18,768;Ramal;424858,85;4465438,4;Vertical;R-401a;C¡rculo;R401A.Png;Poste;0,4118581;531;531;1;Frontal
275;327;Madrid;Madrid;A-5;18,757;Ramal;424854,27;4465460,75;Vertical;R-1;Tri ngulo;R1.Png;Poste;0,204018;736;649;1;Frontal
275;328;Madrid;Madrid;A-5;18,757;Ramal;424854,27;4465460,75;Vertical;R-101;C¡rculo;R101.Png;Poste;0,204018;531;531;1;Posterior
276;329;Madrid;Madrid;A-5;18,74;Tronco;424903,32;4465428,55;Vertical;R-400c;C¡rculo;R400C.Png;Farola;2,3424968;531;531;1;Frontal
276;330;Madrid;Madrid;A-5;18,74;Tronco;424903,32;4465428,55;Vertical;R-1;Tri ngulo;R1.Png;Farola;2,3424968;736;649;2;Frontal
277;331;Madrid;Madrid;A-5;18,699;Tronco;424941,49;4465448,33;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,2411273;531;531;1;Frontal
277;332;Madrid;Madrid;A-5;18,699;Tronco;424941,49;4465448,33;Vertical;R-101;C¡rculo;R101.Png;Poste;2,2411273;531;531;1;Posterior
278;333;Madrid;Madrid;A-5;18,7;Tronco;424946,27;4465440,62;Vertical;R-101;C¡rculo;R101.Png;Poste;5,4347131;531;531;1;Frontal
279;334;Madrid;Madrid;A-5;18,783;Tronco;424913,49;4465350,74;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;0,4733561;531;531;1;Frontal
280;335;Madrid;Madrid;A-5;18,81;Tronco;424901,78;4465324,56;Vertical;R-304;C¡rculo;R304.Png;Poste;3,5574042;531;531;1;Frontal
281;336;Madrid;Madrid;A-5;18,905;Ramal;424861,51;4465228,58;Vertical;P-4;Tri ngulo;P04.Png;Poste;1,4074302;736;648;1;Frontal
282;337;Madrid;Madrid;A-5;18,935;Ramal;424825,33;4465227,03;Vertical;P-13a;Tri ngulo;P13A.Png;Poste;4,6463695;736;648;1;Frontal
283;338;Madrid;Madrid;A-5;18,961;Tronco;424781,8;4465235,73;Vertical;B2B;Panel;B2B.Png;Poste;6,2432066;944;236;1;Frontal
284;339;Madrid;Madrid;A-5;18,93;Ramal;424818,71;4465241,35;Vertical;B2B;Panel;B2B.Png;Poste;6,1137723;944;236;1;Frontal
285;340;Madrid;Madrid;A-5;18,904;Tronco;424780,75;4465320,53;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,4275022;736;649;1;Frontal
285;341;Madrid;Madrid;A-5;18,904;Tronco;424780,75;4465320,53;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;2,4275022;531;177;2;Frontal
286;342;Madrid;Madrid;A-5;19,084;Tronco;424685,59;4465160,97;Vertical;R-301_60;C¡rculo;R301_60.Png;Poste;5,5269051;531;531;1;Frontal
286;343;Madrid;Madrid;A-5;19,084;Tronco;424685,59;4465160,97;Vertical;S-870;Cuadrado;S870.Png;Poste;5,5269051;472;236;2;Frontal
287;344;Madrid;Madrid;A-5;20,715;Tronco;423931,67;4463733,02;Vertical;R-301_80;C¡rculo;R301_80.Png;Poste;2,7319463;531;531;1;Frontal
288;345;Madrid;Madrid;A-5;20,793;Tronco;423900,91;4463660,69;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;2,5273431;531;531;1;Frontal
289;346;Madrid;Madrid;A-5;20,901;Tronco;423857,2;4463561,28;Vertical;R-101;C¡rculo;R101.Png;Poste;5,9704843;531;531;1;Frontal
290;347;Madrid;Madrid;A-5;20,902;Tronco;423865,52;4463557,28;Vertical;R-101;C¡rculo;R101.Png;Poste;5,8871039;531;531;1;Frontal
291;348;Madrid;Madrid;A-5;20,849;Tronco;423922,11;4463592,6;Vertical;R-1;Tri ngulo;R1.Png;Poste;6,0101767;736;649;1;Frontal
291;349;Madrid;Madrid;A-5;20,849;Tronco;423922,11;4463592,6;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;6,0101767;531;177;2;Frontal
292;1370;Madrid;Madrid;A-5;20,849;Tronco;423914,71;4463595,61;Vertical;R-400c;C¡rculo;R400C.Png;Poste;5,8707748;531;531;1;Frontal
292;1371;Madrid;Madrid;A-5;20,849;Tronco;423914,71;4463595,61;Vertical;R-101;C¡rculo;R101.Png;Poste;5,8707748;531;531;1;Posterior
293;350;Madrid;Madrid;A-5;21,089;Tronco;423807,39;4463378,83;Vertical;R-101;C¡rculo;R101.Png;Poste;5,8397369;531;531;1;Frontal
294;1366;Madrid;Madrid;A-5;21,083;Tronco;423797,06;4463389,89;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,7768578;531;531;1;Frontal
294;1367;Madrid;Madrid;A-5;21,083;Tronco;423797,06;4463389,89;Vertical;R-101;C¡rculo;R101.Png;Poste;2,7768578;531;531;1;Posterior
295;351;Madrid;Madrid;A-5;21,063;Tronco;423797,67;4463411,22;Vertical;P-15a;Tri ngulo;P15A.Png;Poste;3,1611978;736;648;1;Frontal
296;352;Madrid;Madrid;A-5;21,041;Tronco;423797,24;4463435,85;Vertical;R-301_20;C¡rculo;R301_20.Png;Poste;3,608774;531;531;1;Frontal
297;353;Madrid;Madrid;A-5;21,047;Tronco;423808,84;4463424,28;Vertical;R-400d;C¡rculo;R400D.Png;Poste;4,551297;531;531;1;Frontal
298;354;Madrid;Madrid;A-5;21,139;Tronco;423801,87;4463327,28;Vertical;R-301_40;C¡rculo;R301_40.Png;Poste;5,9385379;531;531;1;Frontal
299;355;Madrid;Madrid;A-5;21,151;Tronco;423762,09;4463332,17;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,8231425;736;649;1;Frontal
299;356;Madrid;Madrid;A-5;21,151;Tronco;423762,09;4463332,17;Vertical;S-800_150;Rect ngulo;S800_150.Png;Poste;2,8231425;531;177;2;Frontal
300;357;Madrid;Madrid;A-5;21,3;Tronco;423699,83;4463199,04;Vertical;R-400c;C¡rculo;R400C.Png;Poste;2,8144947;531;531;1;Frontal
300;358;Madrid;Madrid;A-5;21,3;Tronco;423699,83;4463199,04;Vertical;R-1;Tri ngulo;R1.Png;Poste;2,8144947;736;649;2;Frontal
